gameID,response,name
4949-972959b5-dda6-4062-9c2e-ab4f7d7aeb0e,"This game has two levels and three different settings on each level. There's the room level and the island level. Both use the same different settings, with a brown, blue, and pink ball. Each ball has a different weight/trajectory, and both levels have different rules of gravity. So you need to figure out how each ball works on each level to win.",baseline
7204-38bd9150-a5b7-4980-a102-bf77068bcf84,"The game utilizes two screens, one indoor room and one outdoor mountain space. Look for a circle and a red paddle with three uniquely coloured marbles. ",baseline
3226-b1f7442d-1138-43c0-8083-d2659c9d2640,"This is a puzzle game, you have a circle with a variety of different balls and environments. Figure out the characteristics of the different balls and environments in order to understand the physics of their movement and correctly hit the ball with the paddle! ",baseline
9058-2d6b5b43-663c-4cc6-bd05-1d691d554f60,in this game you catch a ball with a platform that rotates around a circle. the different balls have physics specific to them and different backgrounds have physics as well,baseline
6657-87d846f8-60ba-40c2-9e15-a208ecbbfc64,"a circle with a background unrelated, a choice of 3 different coloured balls to play from and they must be thrown towards the target, but each ball and background throw differently",baseline
5693-d82b1315-ec67-4120-a3c3-9a8536ae1b4e,"Given one of three different balls, use the left and right arrows to move an arrow around a circle to attempt to catch the ball.   The ball may change trajectory differently based on different colors and environment.",baseline
8038-9819c756-8739-4c6d-955e-18c9779a7707,It's a game where you have to guess where a ball is going to land when propelled across a circle. There are different balls that maybe behave differently and an indoor and outdoor sections. There are no other games like it.,baseline
0245-6f58c825-aab5-424f-b8af-5c58f7584cba,You have 3 different coloured balls that behave differently and you have to guess where they land. Move the paddle to the position you think they will land based on the strength of the arrows used.,baseline
1482-f9fd866b-b8a1-459e-bdf1-378bd656fcbb,"ball catch , catch the ball in the right place",baseline
0482-42faf7bf-dadc-4f46-b9ae-c0f1892cf972,like pong on a circle with pretty backdrops,baseline
1977-fa92b8c3-f24e-4932-8ed8-4d670cb39023,"A game where you try to catch one of three differently weighted balls using a paddle that you move around a circle, depending on whether you are outside with wind or inside with no wind",baseline
0328-aa0de1db-bc79-4867-bf3e-63886c186111,"The game involves physics puzzles where the ball, force, and gravity interact to challenge the user to find out the rules and try to catch the ball",baseline
4330-cf685570-159a-49f5-be16-398f856c6e8b,"there is a circle with a paddle on it and a ball is on that circle. There is also an arrow which is pointing in the direction the ball is gonna go, and you have to move that paddle to where you think the ball is going to go. there are three different balls and two different backgrounds. ",baseline
7732-4a188234-fea3-4b06-8a09-54657a808410,"The game is similar in some ways to a brick breaker game, as the aim is for the ball moves to collide with a brick. The difference is instead of breaking the brick, the brick catches it. Additionally gravity, the type of ball and the screen backgrounds has effects on how the ball moves.  ",baseline
7127-3003410a-d7a8-4b77-ba71-5ee34ebc009c,You have to guess the direction the ball will travel across a circle but different balls are used with different properties. There are also other rooms which change how it moves. The amount of forced used when throwing the ball is shown as weakk (yellow) to strong (red).,baseline
0730-ed04399d-93f9-4033-a744-d083a9f46e76,This is a game where you have to become familiar with the bounce patterns of different balls in order to catch them. The balls are different colours and behave differently when in different rooms. Over time you begin to recognise the patterns and become better at catching the balls.,baseline
8040-52197697-d64e-414e-914c-85e497fd4cfd,"You throw the ball, and you try to catch it. Depending on the color of the ball, that determines the speed of the ball. The arrow helps show what direction the ball will be going.",baseline
1658-c23fb6de-7bd7-4c9f-96b9-0aee8d331029,"Ball catching game with phsyics dependant on location, ball weight and throw velocity. ",baseline
5605-f736c287-65b1-4d38-9179-a843e84a2805,"A circle with a red paddle on a background of either a wooden floor or a seaside\nThere are three different coloured balls, pink blue or yellow",baseline
1258-f689ac9a-6d6b-4cf3-8f0c-cf2e632f5df4,look for colourfull balls game,baseline
7355-ecff0e6b-b8d6-4875-a5e9-6cd3f206ec9b,"This game uses a lot of thinking and guessing and also uses your memory often. If you enjoy analyzing and observing various patterns, I would say this game is for you. The different backgrounds and coloured balls each bring a different aspect to the game.",baseline
3018-ca9e4a6c-b5c7-4522-a6a3-2d955a96ddd9,"This is basically about positioning a red line in the path of ball, the aim of the game is to try and catch the trajectory of the ball with the red line while trying to estimate the direction of the ball within a circle.",baseline
2576-136693a5-e50c-4404-8ed2-a1f5297b0969,Try to imagine the center of gravity in a certain spot on the screen and make a parabole in respect to the ball you are shown.,baseline
6309-405ec8f4-c101-44c7-9688-36a360d5d4a2,There's a large circle in front of a picture of eg a landscape or a room. The circle has a colourful ball in it. ,baseline
