gameID,pilot,initial impulse,mass,wind,gravity,direction,rho,circle,background image,misc.,paddle,reference,arrow,color of the balls,causal,procedural,none,angular_err,lang,doc,removed_stops,removed_puncts,removed_stops_puncts,lemmatized,num_words,quantiles,Sv,Sp,sv_above_median,sp_above_median
1391-801f25f7-c8db-4e88-8ec2-d9d9f2c66bfa,pilot2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,29.16669731,"The gravity zone changes depending on the background. The empty room is at bottom center, but with the outdoor room it is off to the right side. Need to adjust for that and the differing ball speeds. ","The gravity zone changes depending on the background. The empty room is at bottom center, but with the outdoor room it is off to the right side. Need to adjust for that and the differing ball speeds. ","['gravity', 'zone', 'changes', 'depending', 'background', '.', 'room', 'center', ',', 'outdoor', 'room', 'right', '.', 'Need', 'adjust', 'differing', 'ball', 'speeds', '.']","['The', 'gravity', 'zone', 'changes', 'depending', 'on', 'the', 'background', 'The', 'empty', 'room', 'is', 'at', 'bottom', 'center', 'but', 'with', 'the', 'outdoor', 'room', 'it', 'is', 'off', 'to', 'the', 'right', 'side', 'Need', 'to', 'adjust', 'for', 'that', 'and', 'the', 'differing', 'ball', 'speeds']","['gravity', 'zone', 'changes', 'depending', 'background', 'room', 'center', 'outdoor', 'room', 'right', 'Need', 'adjust', 'differing', 'ball', 'speeds']","['gravity', 'zone', 'change', 'depend', 'background', 'room', 'center', 'outdoor', 'room', 'right', 'need', 'adjust', 'differ', 'ball', 'speed']",37,less good,0.166666667,0.5,0,1
7724-4935cbf9-1234-4424-9c4b-131fcd76b66d,pilot2,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,35.49518989,"Firstly consider gravity in the wheel, as if the bottom of the ring is the ground, so balls tend to fall towards the bottom. Secondly, consider the weights of the balls, and which colour corresponds to each weight - this will change how far they travel in the direction of the arrow before travelling down due to gravity. Thirdly, consider the wind direction, there is wind outside but not inside. Use trial and error to figure out the direction of the wind.","Firstly consider gravity in the wheel, as if the bottom of the ring is the ground, so balls tend to fall towards the bottom. Secondly, consider the weights of the balls, and which colour corresponds to each weight - this will change how far they travel in the direction of the arrow before travelling down due to gravity. Thirdly, consider the wind direction, there is wind outside but not inside. Use trial and error to figure out the direction of the wind.","['Firstly', 'consider', 'gravity', 'wheel', ',', 'ring', 'ground', ',', 'balls', 'tend', 'fall', '.', 'Secondly', ',', 'consider', 'weights', 'balls', ',', 'colour', 'corresponds', 'weight', '-', 'change', 'far', 'travel', 'direction', 'arrow', 'travelling', 'gravity', '.', 'Thirdly', ',', 'consider', 'wind', 'direction', ',', 'wind', 'outside', 'inside', '.', 'Use', 'trial', 'error', 'figure', 'direction', 'wind', '.']","['Firstly', 'consider', 'gravity', 'in', 'the', 'wheel', 'as', 'if', 'the', 'bottom', 'of', 'the', 'ring', 'is', 'the', 'ground', 'so', 'balls', 'tend', 'to', 'fall', 'towards', 'the', 'bottom', 'Secondly', 'consider', 'the', 'weights', 'of', 'the', 'balls', 'and', 'which', 'colour', 'corresponds', 'to', 'each', 'weight', 'this', 'will', 'change', 'how', 'far', 'they', 'travel', 'in', 'the', 'direction', 'of', 'the', 'arrow', 'before', 'travelling', 'down', 'due', 'to', 'gravity', 'Thirdly', 'consider', 'the', 'wind', 'direction', 'there', 'is', 'wind', 'outside', 'but', 'not', 'inside', 'Use', 'trial', 'and', 'error', 'to', 'figure', 'out', 'the', 'direction', 'of', 'the', 'wind']","['Firstly', 'consider', 'gravity', 'wheel', 'ring', 'ground', 'balls', 'tend', 'fall', 'Secondly', 'consider', 'weights', 'balls', 'colour', 'corresponds', 'weight', 'change', 'far', 'travel', 'direction', 'arrow', 'travelling', 'gravity', 'Thirdly', 'consider', 'wind', 'direction', 'wind', 'outside', 'inside', 'Use', 'trial', 'error', 'figure', 'direction', 'wind']","['firstly', 'consider', 'gravity', 'wheel', 'ring', 'ground', 'ball', 'tend', 'fall', 'secondly', 'consider', 'weight', 'ball', 'colour', 'correspond', 'weight', 'change', 'far', 'travel', 'direction', 'arrow', 'travel', 'gravity', 'thirdly', 'consider', 'wind', 'direction', 'wind', 'outside', 'inside', 'use', 'trial', 'error', 'figure', 'direction', 'wind']",81,less good,0.666666667,0.666666667,1,1
0299-57faeb83-0ece-4603-925f-0cc4ce1f5f9a,pilot2,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,18.35998927,"In both maps there is gravity, in the plain room it pulls strait down, and in the island it pulls towards the bottom right. The balls all have different weights, the purple ball being the lightest and the purple ball being the heaviest. The purple ball can easily cross the whole cicle in opposisiont to gravity, whereas if the blue ball is being launched up it will fall faily close to where it started. ","In both maps there is gravity, in the plain room it pulls strait down, and in the island it pulls towards the bottom right. The balls all have different weights, the purple ball being the lightest and the purple ball being the heaviest. The purple ball can easily cross the whole cicle in opposisiont to gravity, whereas if the blue ball is being launched up it will fall faily close to where it started. ","['maps', 'gravity', ',', 'plain', 'room', 'pulls', 'strait', ',', 'island', 'pulls', 'right', '.', 'balls', 'different', 'weights', ',', 'purple', 'ball', 'lightest', 'purple', 'ball', 'heaviest', '.', 'purple', 'ball', 'easily', 'cross', 'cicle', 'opposisiont', 'gravity', ',', 'blue', 'ball', 'launched', 'fall', 'faily', 'close', 'started', '.']","['In', 'both', 'maps', 'there', 'is', 'gravity', 'in', 'the', 'plain', 'room', 'it', 'pulls', 'strait', 'down', 'and', 'in', 'the', 'island', 'it', 'pulls', 'towards', 'the', 'bottom', 'right', 'The', 'balls', 'all', 'have', 'different', 'weights', 'the', 'purple', 'ball', 'being', 'the', 'lightest', 'and', 'the', 'purple', 'ball', 'being', 'the', 'heaviest', 'The', 'purple', 'ball', 'can', 'easily', 'cross', 'the', 'whole', 'cicle', 'in', 'opposisiont', 'to', 'gravity', 'whereas', 'if', 'the', 'blue', 'ball', 'is', 'being', 'launched', 'up', 'it', 'will', 'fall', 'faily', 'close', 'to', 'where', 'it', 'started']","['maps', 'gravity', 'plain', 'room', 'pulls', 'strait', 'island', 'pulls', 'right', 'balls', 'different', 'weights', 'purple', 'ball', 'lightest', 'purple', 'ball', 'heaviest', 'purple', 'ball', 'easily', 'cross', 'cicle', 'opposisiont', 'gravity', 'blue', 'ball', 'launched', 'fall', 'faily', 'close', 'started']","['map', 'gravity', 'plain', 'room', 'pull', 'strait', 'island', 'pull', 'right', 'ball', 'different', 'weight', 'purple', 'ball', 'light', 'purple', 'ball', 'heavy', 'purple', 'ball', 'easily', 'cross', 'cicle', 'opposisiont', 'gravity', 'blue', 'ball', 'launch', 'fall', 'faily', 'close', 'start']",74,good,0.5,0.666666667,1,1
0788-34b7a95d-127c-4a7e-a8a5-a0e039f20fa0,pilot2,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,13.75982919,"Imagine gravity changes depending on which room you're in. The beach background seems to be tilted, so its gravity draws the balls to about 5 on a clockface. The background that looks like its inside has regular gravity and draws the balls to the centre of the floor. As for the balls, the pink one has the most force, the blue one has medium force, and the brown ball has very little force behind it. So the gravity for each room will effect each ball differently.","Imagine gravity changes depending on which room you're in. The beach background seems to be tilted, so its gravity draws the balls to about 5 on a clockface. The background that looks like its inside has regular gravity and draws the balls to the centre of the floor. As for the balls, the pink one has the most force, the blue one has medium force, and the brown ball has very little force behind it. So the gravity for each room will effect each ball differently.","['Imagine', 'gravity', 'changes', 'depending', 'room', '.', 'beach', 'background', 'tilted', ',', 'gravity', 'draws', 'balls', '5', 'clockface', '.', 'background', 'looks', 'like', 'inside', 'regular', 'gravity', 'draws', 'balls', 'centre', 'floor', '.', 'balls', ',', 'pink', 'force', ',', 'blue', 'medium', 'force', ',', 'brown', 'ball', 'little', 'force', '.', 'gravity', 'room', 'effect', 'ball', 'differently', '.']","['Imagine', 'gravity', 'changes', 'depending', 'on', 'which', 'room', 'you', ""'re"", 'in', 'The', 'beach', 'background', 'seems', 'to', 'be', 'tilted', 'so', 'its', 'gravity', 'draws', 'the', 'balls', 'to', 'about', '5', 'on', 'a', 'clockface', 'The', 'background', 'that', 'looks', 'like', 'its', 'inside', 'has', 'regular', 'gravity', 'and', 'draws', 'the', 'balls', 'to', 'the', 'centre', 'of', 'the', 'floor', 'As', 'for', 'the', 'balls', 'the', 'pink', 'one', 'has', 'the', 'most', 'force', 'the', 'blue', 'one', 'has', 'medium', 'force', 'and', 'the', 'brown', 'ball', 'has', 'very', 'little', 'force', 'behind', 'it', 'So', 'the', 'gravity', 'for', 'each', 'room', 'will', 'effect', 'each', 'ball', 'differently']","['Imagine', 'gravity', 'changes', 'depending', 'room', 'beach', 'background', 'tilted', 'gravity', 'draws', 'balls', '5', 'clockface', 'background', 'looks', 'like', 'inside', 'regular', 'gravity', 'draws', 'balls', 'centre', 'floor', 'balls', 'pink', 'force', 'blue', 'medium', 'force', 'brown', 'ball', 'little', 'force', 'gravity', 'room', 'effect', 'ball', 'differently']","['imagine', 'gravity', 'change', 'depend', 'room', 'beach', 'background', 'tilt', 'gravity', 'draw', 'ball', '5', 'clockface', 'background', 'look', 'like', 'inside', 'regular', 'gravity', 'draw', 'ball', 'centre', 'floor', 'ball', 'pink', 'force', 'blue', 'medium', 'force', 'brown', 'ball', 'little', 'force', 'gravity', 'room', 'effect', 'ball', 'differently']",87,good,0.333333333,0.666666667,1,1
5213-b204763b-d5ef-4300-bc4b-faa9bb6837de,pilot2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,36.81040185,"learn the pattern of path for each ball then memorize it , you need a good memory to be masterful at this game .","learn the pattern of path for each ball then memorize it , you need a good memory to be masterful at this game .","['learn', 'pattern', 'path', 'ball', 'memorize', ',', 'need', 'good', 'memory', 'masterful', 'game', '.']","['learn', 'the', 'pattern', 'of', 'path', 'for', 'each', 'ball', 'then', 'memorize', 'it', 'you', 'need', 'a', 'good', 'memory', 'to', 'be', 'masterful', 'at', 'this', 'game']","['learn', 'pattern', 'path', 'ball', 'memorize', 'need', 'good', 'memory', 'masterful', 'game']","['learn', 'pattern', 'path', 'ball', 'memorize', 'need', 'good', 'memory', 'masterful', 'game']",22,less good,0,0,0,0
7314-e68d9850-248a-48f0-a80b-22c9f5bcebf6,pilot2,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,24.64123631,Take notice of which ball does what - they act like they have different weights. Take notice of the background as well - inside is easier but outside seems to have different forces so you have to learn what direction the balls go in. Gravity also plays a role so bear that in mind.,Take notice of which ball does what - they act like they have different weights. Take notice of the background as well - inside is easier but outside seems to have different forces so you have to learn what direction the balls go in. Gravity also plays a role so bear that in mind.,"['notice', 'ball', '-', 'act', 'like', 'different', 'weights', '.', 'notice', 'background', '-', 'inside', 'easier', 'outside', 'different', 'forces', 'learn', 'direction', 'balls', '.', 'Gravity', 'plays', 'role', 'bear', 'mind', '.']","['Take', 'notice', 'of', 'which', 'ball', 'does', 'what', 'they', 'act', 'like', 'they', 'have', 'different', 'weights', 'Take', 'notice', 'of', 'the', 'background', 'as', 'well', 'inside', 'is', 'easier', 'but', 'outside', 'seems', 'to', 'have', 'different', 'forces', 'so', 'you', 'have', 'to', 'learn', 'what', 'direction', 'the', 'balls', 'go', 'in', 'Gravity', 'also', 'plays', 'a', 'role', 'so', 'bear', 'that', 'in', 'mind']","['notice', 'ball', 'act', 'like', 'different', 'weights', 'notice', 'background', 'inside', 'easier', 'outside', 'different', 'forces', 'learn', 'direction', 'balls', 'Gravity', 'plays', 'role', 'bear', 'mind']","['notice', 'ball', 'act', 'like', 'different', 'weight', 'notice', 'background', 'inside', 'easy', 'outside', 'different', 'force', 'learn', 'direction', 'ball', 'gravity', 'play', 'role', 'bear', 'mind']",52,less good,0.166666667,0.666666667,0,1
7331-a8125de2-b698-4cdc-aa1d-601119d50e3a,pilot2,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,44.95679091,"In the first room I think gravity is normal and in the second room there is a weird gravity pulling down towards the bottom right corner. The pink ball goes the farthest, the blue ball goes in the middle and the brown/yellow ball hardly moves at all.","In the first room I think gravity is normal and in the second room there is a weird gravity pulling down towards the bottom right corner. The pink ball goes the farthest, the blue ball goes in the middle and the brown/yellow ball hardly moves at all.","['room', 'think', 'gravity', 'normal', 'second', 'room', 'weird', 'gravity', 'pulling', 'right', 'corner', '.', 'pink', 'ball', 'goes', 'farthest', ',', 'blue', 'ball', 'goes', 'middle', 'brown', '/', 'yellow', 'ball', 'hardly', 'moves', '.']","['In', 'the', 'first', 'room', 'I', 'think', 'gravity', 'is', 'normal', 'and', 'in', 'the', 'second', 'room', 'there', 'is', 'a', 'weird', 'gravity', 'pulling', 'down', 'towards', 'the', 'bottom', 'right', 'corner', 'The', 'pink', 'ball', 'goes', 'the', 'farthest', 'the', 'blue', 'ball', 'goes', 'in', 'the', 'middle', 'and', 'the', 'brown', 'yellow', 'ball', 'hardly', 'moves', 'at', 'all']","['room', 'think', 'gravity', 'normal', 'second', 'room', 'weird', 'gravity', 'pulling', 'right', 'corner', 'pink', 'ball', 'goes', 'farthest', 'blue', 'ball', 'goes', 'middle', 'brown', 'yellow', 'ball', 'hardly', 'moves']","['room', 'think', 'gravity', 'normal', 'second', 'room', 'weird', 'gravity', 'pull', 'right', 'corner', 'pink', 'ball', 'go', 'farth', 'blue', 'ball', 'go', 'middle', 'brown', 'yellow', 'ball', 'hardly', 'move']",48,less bad,0.333333333,0.333333333,1,1
7315-851d45a8-0dfa-4ecd-b7c0-225b907dc20e,pilot2,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,37.27576808,"Remember the balls will fall according to the law of gravity (e.g. if thrown North, it may not make it to the top if not thrown with enough power) and the ball will curve. The pink is the most powerful, then the orange, then the blue. 
","Remember the balls will fall according to the law of gravity (e.g. if thrown North, it may not make it to the top if not thrown with enough power) and the ball will curve. The pink is the most powerful, then the orange, then the blue. 
","['Remember', 'balls', 'fall', 'according', 'law', 'gravity', '(', 'e.g.', 'thrown', 'North', ',', 'thrown', 'power', ')', 'ball', 'curve', '.', 'pink', 'powerful', ',', 'orange', ',', 'blue', '.', '\n']","['Remember', 'the', 'balls', 'will', 'fall', 'according', 'to', 'the', 'law', 'of', 'gravity', 'e.g.', 'if', 'thrown', 'North', 'it', 'may', 'not', 'make', 'it', 'to', 'the', 'top', 'if', 'not', 'thrown', 'with', 'enough', 'power', 'and', 'the', 'ball', 'will', 'curve', 'The', 'pink', 'is', 'the', 'most', 'powerful', 'then', 'the', 'orange', 'then', 'the', 'blue', '\n']","['Remember', 'balls', 'fall', 'according', 'law', 'gravity', 'e.g.', 'thrown', 'North', 'thrown', 'power', 'ball', 'curve', 'pink', 'powerful', 'orange', 'blue', '\n']","['remember', 'ball', 'fall', 'accord', 'law', 'gravity', 'e.g.', 'throw', 'North', 'throw', 'power', 'ball', 'curve', 'pink', 'powerful', 'orange', 'blue', '\n']",47,less bad,0.166666667,0.666666667,0,1
8134-fed12613-6d0f-4453-b326-4bb7f92884b5,pilot2,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,28.91424142,The balls all break a different way based on what color the ball is and how long the arrow is. Sometimes they go straight as well. The longer the arrow the more volocity the ball will take off with. The direction that the ball will break seems to be based on the background. If the ball does break it usually will break to the right.,The balls all break a different way based on what color the ball is and how long the arrow is. Sometimes they go straight as well. The longer the arrow the more volocity the ball will take off with. The direction that the ball will break seems to be based on the background. If the ball does break it usually will break to the right.,"['balls', 'break', 'different', 'way', 'based', 'color', 'ball', 'long', 'arrow', '.', 'straight', '.', 'longer', 'arrow', 'volocity', 'ball', '.', 'direction', 'ball', 'break', 'based', 'background', '.', 'ball', 'break', 'usually', 'break', 'right', '.']","['The', 'balls', 'all', 'break', 'a', 'different', 'way', 'based', 'on', 'what', 'color', 'the', 'ball', 'is', 'and', 'how', 'long', 'the', 'arrow', 'is', 'Sometimes', 'they', 'go', 'straight', 'as', 'well', 'The', 'longer', 'the', 'arrow', 'the', 'more', 'volocity', 'the', 'ball', 'will', 'take', 'off', 'with', 'The', 'direction', 'that', 'the', 'ball', 'will', 'break', 'seems', 'to', 'be', 'based', 'on', 'the', 'background', 'If', 'the', 'ball', 'does', 'break', 'it', 'usually', 'will', 'break', 'to', 'the', 'right']","['balls', 'break', 'different', 'way', 'based', 'color', 'ball', 'long', 'arrow', 'straight', 'longer', 'arrow', 'volocity', 'ball', 'direction', 'ball', 'break', 'based', 'background', 'ball', 'break', 'usually', 'break', 'right']","['ball', 'break', 'different', 'way', 'base', 'color', 'ball', 'long', 'arrow', 'straight', 'long', 'arrow', 'volocity', 'ball', 'direction', 'ball', 'break', 'base', 'background', 'ball', 'break', 'usually', 'break', 'right']",65,less good,0.5,0.333333333,1,0
8231-2cbe43de-d37d-4300-b7a9-64ddbe4fda56,pilot2,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,14.204485,"To succeed learn the difference between each arrow as they are the most common thing to come up, then learn the patterns of each ball and then follow that by each background. They also is a gravity effect which will affect the pattern of every ball.  ","To succeed learn the difference between each arrow as they are the most common thing to come up, then learn the patterns of each ball and then follow that by each background. They also is a gravity effect which will affect the pattern of every ball.  ","['succeed', 'learn', 'difference', 'arrow', 'common', 'thing', 'come', ',', 'learn', 'patterns', 'ball', 'follow', 'background', '.', 'gravity', 'effect', 'affect', 'pattern', 'ball', '.', ' ']","['To', 'succeed', 'learn', 'the', 'difference', 'between', 'each', 'arrow', 'as', 'they', 'are', 'the', 'most', 'common', 'thing', 'to', 'come', 'up', 'then', 'learn', 'the', 'patterns', 'of', 'each', 'ball', 'and', 'then', 'follow', 'that', 'by', 'each', 'background', 'They', 'also', 'is', 'a', 'gravity', 'effect', 'which', 'will', 'affect', 'the', 'pattern', 'of', 'every', 'ball', ' ']","['succeed', 'learn', 'difference', 'arrow', 'common', 'thing', 'come', 'learn', 'patterns', 'ball', 'follow', 'background', 'gravity', 'effect', 'affect', 'pattern', 'ball', ' ']","['succeed', 'learn', 'difference', 'arrow', 'common', 'thing', 'come', 'learn', 'pattern', 'ball', 'follow', 'background', 'gravity', 'effect', 'affect', 'pattern', 'ball', ' ']",47,good,0.333333333,0.166666667,1,0
