gameID,response,name
1391-801f25f7-c8db-4e88-8ec2-d9d9f2c66bfa,"The gravity zone changes depending on the background. The empty room is at bottom center, but with the outdoor room it is off to the right side. Need to adjust for that and the differing ball speeds. ",pedagogy
7724-4935cbf9-1234-4424-9c4b-131fcd76b66d,"Firstly consider gravity in the wheel, as if the bottom of the ring is the ground, so balls tend to fall towards the bottom. Secondly, consider the weights of the balls, and which colour corresponds to each weight - this will change how far they travel in the direction of the arrow before travelling down due to gravity. Thirdly, consider the wind direction, there is wind outside but not inside. Use trial and error to figure out the direction of the wind.",pedagogy
0299-57faeb83-0ece-4603-925f-0cc4ce1f5f9a,"In both maps there is gravity, in the plain room it pulls strait down, and in the island it pulls towards the bottom right. The balls all have different weights, the purple ball being the lightest and the purple ball being the heaviest. The purple ball can easily cross the whole cicle in opposisiont to gravity, whereas if the blue ball is being launched up it will fall faily close to where it started. ",pedagogy
0788-34b7a95d-127c-4a7e-a8a5-a0e039f20fa0,"Imagine gravity changes depending on which room you're in. The beach background seems to be tilted, so its gravity draws the balls to about 5 on a clockface. The background that looks like its inside has regular gravity and draws the balls to the centre of the floor. As for the balls, the pink one has the most force, the blue one has medium force, and the brown ball has very little force behind it. So the gravity for each room will effect each ball differently.",pedagogy
5213-b204763b-d5ef-4300-bc4b-faa9bb6837de,"learn the pattern of path for each ball then memorize it , you need a good memory to be masterful at this game .",pedagogy
7314-e68d9850-248a-48f0-a80b-22c9f5bcebf6,Take notice of which ball does what - they act like they have different weights. Take notice of the background as well - inside is easier but outside seems to have different forces so you have to learn what direction the balls go in. Gravity also plays a role so bear that in mind.,pedagogy
7331-a8125de2-b698-4cdc-aa1d-601119d50e3a,"In the first room I think gravity is normal and in the second room there is a weird gravity pulling down towards the bottom right corner. The pink ball goes the farthest, the blue ball goes in the middle and the brown/yellow ball hardly moves at all.",pedagogy
7315-851d45a8-0dfa-4ecd-b7c0-225b907dc20e,"Remember the balls will fall according to the law of gravity (e.g. if thrown North, it may not make it to the top if not thrown with enough power) and the ball will curve. The pink is the most powerful, then the orange, then the blue. \n",pedagogy
8134-fed12613-6d0f-4453-b326-4bb7f92884b5,The balls all break a different way based on what color the ball is and how long the arrow is. Sometimes they go straight as well. The longer the arrow the more volocity the ball will take off with. The direction that the ball will break seems to be based on the background. If the ball does break it usually will break to the right.,pedagogy
8231-2cbe43de-d37d-4300-b7a9-64ddbe4fda56,"To succeed learn the difference between each arrow as they are the most common thing to come up, then learn the patterns of each ball and then follow that by each background. They also is a gravity effect which will affect the pattern of every ball.  ",pedagogy
0373-2402c338-4726-403a-9177-142840bc380f,"For the first room, keep the paddle close to the blue ball as it doesn't move very far. The arrow direction is pretty accurate for the brown ball and it moves with more impact so just put the paddle across from the arrow. The pink ball curves so you should move the paddle a bit to the side each time. For the other room each ball curves more so you will need to adjust the paddle accordingly. The blue ball has the least power then the pink ball and then the brown ball.",pedagogy
5097-6c581c29-8367-4346-9ca5-782223a78d30,"You need to understand the relationship between the colour ball, the arrow and the environment in which you are playing. ",pedagogy
4911-6fc56b8f-05a9-4390-951b-e0f7cc07492b,Pay attention to the background as well as size of the arrows in particular. It takes quite a few attempts to get a feel for the speed of the ball and also the trajectory in which it will travel but you do soon get used to it! ,pedagogy
5492-00a50c11-c82a-42df-9390-1ecaa8a2d636,I would tell them to memorize the marbles because they have different density and might be able to calculate how they will fall.,pedagogy
0009-a05cdeb3-43cc-40f2-84f2-5c52d9ad88bb,The Orange ball is heavy so place the catcher near where the ball fires from. The blue ball is most affected by gravity while the other ball is least so. The world that looks like a room has a gravitational pull towards the centre bottom while the other world pulls towards the right.,pedagogy
4160-bc42d3ca-da8f-4bb1-93e4-e6b364340782,"Pay attention. The balls are different weights, which affects how far they'll be thrown and how they fall.",pedagogy
3758-b72730ad-4021-4a12-b275-ede6801f90fa,"The different color balls travel differently, they tend to get pulled in certain directions. You can sort've imagine they have a weight or a gravity field. Try to pick up on the pattern or what direction it tends to go to the most. If it comes straight up and comes back straight down, that is probably the way it is being pulled. The bright red arrows mean it is a stronger launch, the orange is not as strong. ",pedagogy
1482-0a705ed2-b1b6-4873-9c39-85cc5ea5ddf1,Pay attention to the speed and arch of the ball in each room.,pedagogy
9536-a610ee61-cdcb-4e59-8449-4bd09f4070f1,"Check which ball actually goes in the position that it's pointing, next round you will be able to make a better judgments. Also note that the speeds may change once the rooms change. ",pedagogy
8514-61f0ed5f-68a7-41f9-a1f7-201a83162bb7,"the balls each are different weights which will affect how far they will travel within the circle. When the ball is heavier it won't travel too far therefore the paddle is best closer towards where the ball was thrown from, but the lighter they are the paddle is almost placed around opposite. However the way the ball will fall with a curve due to gravity will factor into the placement of the paddle when the ball is thrown horizontally ",pedagogy
2562-8775a3da-107c-415e-8cea-08dcbb0862ad,"I would tell them to pay attention to gravity and how heavy the different balls are. The pink ball is the lightest, the blue is intermediate, and the tan mixed ball is the heaviest. Pay attention to which room has which gravitational pull. ",pedagogy
0829-ab23db5f-fe28-4349-876c-410a3e2df27a,The 3 different balls have different weights applied to them and the power of each is important. Try and watch for a patter of the different balls from different places and they land in the same area each time dependent in the starting position ,pedagogy
1674-cb638b85-bb75-4a98-a45e-8aa05fe7ec3d,"To make sure they consider the 3 hints suggested [the type of ball, the rooms, and the length and colour of the ball] - and to consider gravity maybe? ",pedagogy
